lat,lon
-24.8714,-65.4895
-24.8849,-65.4923
-24.8971,-65.4948
-24.9122,-65.4982
-24.9263,-65.5016
-24.9587,-65.5089
-24.9788,-65.5101
-25.02,-65.4991
-25.058,-65.4894
-25.0967,-65.48
-25.1376,-65.47
-25.1789,-65.4596
-25.2201,-65.4493
-25.2629,-65.4388
-25.3057,-65.4281
-25.3488,-65.4172
-25.3914,-65.4065
-25.4347,-65.3958
-25.4791,-65.3846
-25.5265,-65.3726
-25.5716,-65.3612
-25.6235,-65.3484
-25.6737,-65.336
-25.7043,-65.3361
-25.7318,-65.3507
-25.751,-65.3765
-25.7585,-65.4061
-25.7595,-65.4559
-25.7609,-65.5073
-25.7626,-65.5611
-25.7642,-65.6221
-25.7656,-65.6808
-25.7671,-65.7412
-25.7684,-65.8031
-25.7656,-65.865
-25.7567,-65.926
-25.7423,-65.9847
-25.7228,-66.0406
-25.6968,-66.0972
-25.6663,-66.1489
-25.6298,-66.198
-25.589,-66.2423
-25.5067,-66.3156
-25.459,-66.3581
-25.4106,-66.4012
-25.3505,-66.4547
-25.2951,-66.5037
-25.2148,-66.5746
-23.913,-67.7044
-23.8661,-67.7437
-23.8202,-67.7824
-23.7599,-67.8331
-23.715,-67.8707
-23.6705,-67.908
-23.6165,-67.9533
-23.5701,-67.992
-23.5143,-68.0384
-23.4668,-68.0781
-23.4196,-68.1174
-23.3705,-68.1584
-23.3234,-68.1976
-23.2755,-68.2374
-23.2273,-68.2774
-23.1799,-68.3166
-23.0999,-68.3829
-23.0515,-68.423
-23.0033,-68.4629
-22.9526,-68.5048
-22.9048,-68.5443
-22.8544,-68.5858
-22.8056,-68.6259
-22.7575,-68.6654
-22.7099,-68.7045
-22.6396,-68.7624
-22.5911,-68.8021
-22.5431,-68.8415
-22.4934,-68.8821
-22.4347,-68.934
-22.3876,-68.9773
-22.3412,-69.0193
-22.2939,-69.0618
-22.2482,-69.1027
-22.2016,-69.1444
-22.1545,-69.1864
-22.1073,-69.2284
-22.061,-69.2699
-22.0144,-69.3115
-21.9683,-69.3525
-21.922,-69.3937
-21.8746,-69.4358
-21.8276,-69.4776
-21.7803,-69.5195
-21.7193,-69.5735
-21.6321,-69.6507
-21.5775,-69.6989
-21.5296,-69.7412
-21.45,-69.8113
-21.402,-69.8536
-21.3546,-69.8953
-21.3068,-69.9374
-21.2604,-69.9783
-21.1908,-70.0394
-21.1255,-70.0966
-21.0754,-70.1405
-21.028,-70.182
-20.9728,-70.2302
-20.9246,-70.2722
-20.8777,-70.3132
-20.8101,-70.3719
-20.7614,-70.4144
-20.611,-70.545
-20.5595,-70.5898
-20.5103,-70.6325
-20.4323,-70.7002
-20.3351,-70.7843
-20.2389,-70.8676
-20.1914,-70.9085
-20.1433,-70.9499
-20.0627,-71.0192
-20.0129,-71.062
-19.951,-71.1151
-19.9007,-71.1583
-19.8523,-71.1998
-19.8053,-71.2401
-19.7554,-71.2827
-19.7039,-71.3267
-19.6166,-71.4014
-19.5673,-71.4436
-19.5089,-71.4933
-19.4617,-71.5335
-19.412,-71.5758
-19.364,-71.6165
-19.2806,-71.6874
-19.2287,-71.7314
-19.1814,-71.7717
-19.1306,-71.8147
-19.0716,-71.8647
-19.0219,-71.9068
-18.9334,-71.9815
-18.8806,-72.026
-18.8298,-72.0689
-18.7766,-72.1137
-18.7274,-72.1551
-18.6788,-72.196
-18.6293,-72.2376
-18.5791,-72.2797
-18.5296,-72.3213
-18.4793,-72.3635
-18.3806,-72.4463
-18.3312,-72.4876
-18.2813,-72.5293
-18.2314,-72.571
-18.1828,-72.6117
-18.1321,-72.654
-18.0832,-72.6948
-18.0328,-72.7367
-17.983,-72.7782
-17.9331,-72.8199
-17.883,-72.8616
-17.8331,-72.903
-17.7359,-72.9838
-17.6862,-73.025
-17.6371,-73.0657
-17.5881,-73.1063
-17.5339,-73.1511
-17.4525,-73.2183
-17.396,-73.265
-17.3339,-73.3162
-17.2816,-73.3593
-17.1903,-73.4345
-17.1388,-73.477
-17.0826,-73.5232
-17.0283,-73.5677
-16.9455,-73.6357
-16.8809,-73.6887
-16.8301,-73.7303
-16.7617,-73.7862
-16.702,-73.8351
-16.6509,-73.877
-16.6004,-73.9183
-16.55,-73.9595
-16.4982,-74.0016
-16.4479,-74.0426
-16.3976,-74.0835
-16.3455,-74.1259
-16.2945,-74.1674
-16.2432,-74.2091
-16.1411,-74.292
-16.0898,-74.3335
-16.0387,-74.375
-15.9881,-74.416
-15.9365,-74.4577
-15.8855,-74.499
-15.8346,-74.5401
-15.7829,-74.5818
-15.6802,-74.6647
-15.6289,-74.7061
-15.5783,-74.7469
-15.5262,-74.7887
-15.4746,-74.8304
-15.4251,-74.8701
-15.3197,-74.9548
-15.2684,-74.996
-15.2167,-75.0375
-15.1659,-75.0783
-15.1144,-75.1195
-15.0618,-75.1616
-15.0094,-75.2035
-14.9125,-75.2811
-14.8611,-75.3221
-14.8092,-75.3636
-14.7056,-75.446
-14.6055,-75.5258
-14.5511,-75.5691
-14.4455,-75.653
-14.3935,-75.6943
-14.3409,-75.736
-14.2896,-75.7767
-14.2364,-75.8189
-14.1449,-75.8914
-14.0908,-75.9343
-14.0282,-75.9837
-13.9762,-76.0248
-13.9247,-76.0654
-13.8726,-76.1066
-13.8204,-76.1478
-13.7677,-76.1893
-13.7231,-76.2225
-13.6533,-76.2667
-13.561,-76.3259
-13.5059,-76.3611
-13.4499,-76.3968
-13.3955,-76.4315
-13.3417,-76.466
-13.2889,-76.4997
-13.2349,-76.5341
-13.1834,-76.5668
-13.1346,-76.5977
-13.0849,-76.6293
-13.0357,-76.6608
-12.9886,-76.6907
-12.943,-76.7197
-12.8953,-76.75
-12.8499,-76.7788
-12.8069,-76.8061
-12.7608,-76.8354
-12.717,-76.8632
-12.6732,-76.8907
-12.6249,-76.9212
-12.5767,-76.9515
-12.5355,-76.9723
-12.4952,-76.9924
-12.4544,-77.0129
-12.4139,-77.033
-12.3736,-77.0529
-12.3338,-77.0727
-12.2849,-77.0971
-12.2462,-77.1163
-12.2076,-77.1354
-12.1683,-77.1549
-12.13,-77.1739
-12.1111,-77.1832
-12.0752,-77.201
-12.038,-77.2194
-12.0033,-77.2367
-11.9702,-77.2539
-11.9525,-77.2633
-11.9355,-77.2689
-11.92,-77.2647
-11.906,-77.2505
-11.8905,-77.2323
-11.8882,-77.2184
-11.8959,-77.2021
-11.9026,-77.1903
-11.9216,-77.1763
-11.9313,-77.1711
-11.9421,-77.1656
-11.9517,-77.1608
-11.9631,-77.1552
-11.9734,-77.1501
-11.9949,-77.1395
